code,select_td,buy_td,t0,f1_ma20_slope,f2_close_ma20_dev,f3_mdd_5d,f4_ret_acc,f5_amt_ma20,f6_vol_20d,score,rank,sell_td,buy_open,sell_close,gross_ret,net_ret,behave,last_avail
159934.SZ,2024-11-14,2024-11-15,2024-11-14,-1.0120582556813225,-1.41653254612426,-0.4992663386032569,-1.7343007334127458,0.3302104929755074,-1.0525630034363451,-0.054485940647908265,2,2024-11-22,5.648,5.952,0.053824362606232246,0.053824362606232246,TRADE_OK,2025-12-23
518800.SH,2024-11-14,2024-11-15,2024-11-14,-1.0120582556813225,-1.4151763794534167,-0.490104444377039,-1.6655788281503976,-0.41006743160946063,-1.0722207246628281,-0.15041229923377056,3,2024-11-22,5.638,5.942,0.053919829726853497,0.053919829726853497,TRADE_OK,2025-12-23
159941.SZ,2024-11-21,2024-11-22,2024-11-21,-0.5893652364448858,0.28251647953433257,1.3990755557926047,-0.1728948603140233,1.0326092427960243,-0.877159712155104,-0.11822548140815317,1,2024-11-29,1.145,1.154,0.007860262008733576,0.007860262008733576,TRADE_OK,2025-12-23
513360.SH,2024-11-21,2024-11-22,2024-11-21,-1.0120582556813225,-0.6861192832372416,-0.9429934496858061,-1.3606693353085166,-0.20186731280519588,-0.0993783151801325,-0.2455519579032702,2,2024-11-29,0.522,0.52,-0.003831417624521105,-0.003831417624521105,TRADE_OK,2025-12-23
159632.SZ,2024-11-21,2024-11-22,2024-11-21,-0.3808338998704257,0.23647084075182118,1.3846664470436396,-0.15424346689198987,-0.43868368418684267,-0.899701790977896,-0.28103335050314426,3,2024-11-29,1.722,1.727,0.0029036004645761615,0.0029036004645761615,TRADE_OK,2025-12-23
159755.SZ,2024-11-28,2024-11-29,2024-11-28,-0.758275619070202,-1.0269527007666825,-0.5014104179524839,-0.2593547325848863,-0.34102817022429616,0.2982478581825894,-0.07016300678417556,1,2024-12-06,0.679,0.6960000000000001,0.025036818851251752,0.025036818851251752,TRADE_OK,2025-12-23
159840.SZ,2024-11-28,2024-11-29,2024-11-28,-0.808323139848068,-1.050120680046091,-0.5458354379437751,-0.43694563201187403,-0.5458235761357013,0.44589132094159706,-0.15841757123510328,2,2024-12-06,0.545,0.557,0.022018348623853212,0.022018348623853212,TRADE_OK,2025-12-23
588010.SH,2024-11-28,2024-11-29,2024-11-28,-0.8124937665795569,-1.0414482867001194,0.042142767823318716,0.09403003341035611,-0.6117519959404454,0.7884881028333854,-0.20383293361839466,3,2024-12-06,0.603,0.621,0.029850746268656803,0.029850746268656803,TRADE_OK,2025-12-23
162411.SZ,2024-12-05,2024-12-06,2024-12-05,-0.35163951274999,-0.7329592782040996,-0.6725290134744911,-1.31424800643232,-0.6117519959404454,-0.7865569390533286,-0.09613351861774094,1,2024-12-13,0.774,0.769,-0.006459948320413411,-0.006459948320413411,TRADE_OK,2025-12-23
159840.SZ,2024-12-05,2024-12-06,2024-12-05,-0.9584657021816891,-1.0380804494817433,0.10475832729281313,-0.8589033873890723,-0.5550527155487044,0.33691118366031386,-0.3572700844671655,2,2024-12-13,0.547,0.543,-0.007312614259597838,-0.007312614259597838,TRADE_OK,2025-12-23
